,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,Date
0,Tyreek Hill,Mia,WR,W 36-34,20.5,0,0,0,0,0,0,11,215,2,15,0,0,0,44.5,0,0,LAC,Away,9/12/2023
1,Brandon Aiyuk,SF,WR,W 30-7,10.6,0,0,0,0,0,0,8,129,2,8,0,0,0,32.9,0,0,Pit,Away,9/12/2023
2,Jakobi Meyers,LV,WR,W 17-16,10.9,0,0,0,0,0,0,9,81,2,10,0,0,0,29.1,0,0,Den,Away,9/12/2023
3,Tua Tagovailoa,Mia,QB,W 36-34,17.6,466,3,1,5,5,0,0,0,0,0,0,1,0,27.14,28,45,LAC,Away,9/12/2023
4,Aaron Jones,GB,RB,W 38-20,15.5,0,0,0,9,41,1,2,86,1,4,0,0,0,26.7,0,0,Chi,Away,9/12/2023
5,Austin Ekeler,LAC,RB,L 34-36,17.9,0,0,0,16,117,1,4,47,0,5,0,0,0,26.4,0,0,Mia,Home,9/12/2023
6,Stefon Diggs,Buf,WR,L 16-22,16,0,0,0,0,0,0,10,102,1,13,0,0,0,26.2,0,0,NYJ,Away,9/12/2023
7,Christian McCaffrey,SF,RB,W 30-7,17.3,0,0,0,22,152,1,3,17,0,5,0,0,0,25.9,0,0,Pit,Away,9/12/2023
8,Tyler Allgeier,Atl,RB,W 24-10,8.8,0,0,0,15,75,2,3,19,0,3,0,0,0,24.4,0,0,Car,Home,9/12/2023
9,Kendrick Bourne,NE,WR,L 20-25,10,0,0,0,0,0,0,6,64,2,11,0,0,0,24.4,0,0,Phi,Home,9/12/2023
10,Mac Jones,NE,QB,L 20-25,14.7,316,3,1,2,15,0,0,0,0,0,0,0,0,24.14,35,54,Phi,Home,9/12/2023
11,Calvin Ridley,Jax,WR,W 31-21,14.2,0,0,0,0,0,0,8,101,1,11,0,0,0,24.1,0,0,Ind,Away,9/12/2023
12,Justin Jefferson,Min,WR,L 17-20,20.1,0,0,0,0,0,0,9,150,0,12,0,0,0,24,0,0,TB,Home,9/12/2023
13,Michael Pittman Jr.,Ind,WR,L 21-31,12,0,0,0,0,0,0,8,97,1,11,0,0,0,23.7,0,0,Jax,Home,9/12/2023
14,Jordan Love,GB,QB,W 38-20,14.8,245,3,0,3,12,0,0,0,0,0,0,0,0,23,15,27,Chi,Away,9/12/2023
15,Tony Pollard,Dal,RB,W 40-0,17.5,0,0,0,14,70,2,2,12,0,3,0,0,0,22.2,0,0,NYG,Away,9/12/2023
16,Puka Nacua,LAR,WR,W 30-13,8.4,0,0,0,0,0,0,10,119,0,15,0,0,0,21.9,0,0,Sea,Away,9/12/2023
17,Travis Etienne Jr.,Jax,RB,W 31-21,15.1,0,0,0,18,77,1,5,27,0,5,0,0,0,21.4,0,0,Ind,Away,9/12/2023
18,Anthony Richardson,Ind,QB,L 21-31,17.2,223,1,1,10,40,1,0,0,0,0,0,0,0,20.92,24,37,Jax,Home,9/12/2023
19,Justin Herbert,LAC,QB,L 34-36,16.9,229,1,0,5,17,1,0,0,0,0,0,0,0,20.86,23,33,Mia,Home,9/12/2023
20,Deshaun Watson,Cle,QB,W 24-3,18.5,154,1,1,5,45,1,0,0,0,0,0,0,0,20.66,16,29,Cin,Home,9/12/2023
21,Bijan Robinson,Atl,RB,W 24-10,17.8,0,0,0,10,56,0,6,27,1,6,0,0,0,20.3,0,0,Car,Home,9/12/2023
22,Patrick Mahomes,KC,QB,L 20-21,24.7,226,2,1,6,45,0,0,0,0,0,0,0,0,19.54,21,39,Det,Home,9/12/2023
23,Chris Olave,NO,WR,W 16-15,14.4,0,0,0,0,0,0,8,112,0,10,0,0,0,19.2,0,0,Ten,Home,9/12/2023
24,Amon-Ra St. Brown,Det,WR,W 21-20,16.7,0,0,0,0,0,0,6,71,1,9,0,0,0,19.1,0,0,KC,Away,9/12/2023
25,Rashid Shaheed,NO,WR,W 16-15,6,0,0,0,2,11,0,5,89,1,6,0,1,0,19,0,0,Ten,Home,9/12/2023
26,Mike Evans,TB,WR,W 20-17,13.8,0,0,0,0,0,0,6,66,1,10,0,0,0,18.6,0,0,Min,Away,9/12/2023
27,Romeo Doubs,GB,WR,W 38-20,9.9,0,0,0,0,0,0,4,26,2,5,0,0,0,18.6,0,0,Chi,Away,9/12/2023
28,Tutu Atwell,LAR,WR,W 30-13,9.3,0,0,0,0,0,0,6,119,0,8,0,0,0,17.9,0,0,Sea,Away,9/12/2023
29,Trevor Lawrence,Jax,QB,W 31-21,18.5,241,2,1,7,21,0,0,0,0,0,0,0,0,17.74,24,32,Ind,Away,9/12/2023
30,Zay Flowers,Bal,WR,W 25-9,9.9,0,0,0,2,9,0,9,78,0,10,0,0,0,17.7,0,0,Hou,Home,9/12/2023
31,DeVonta Smith,Phi,WR,W 25-20,14,0,0,0,0,0,0,7,47,1,10,0,0,0,17.7,0,0,NE,Away,9/12/2023
32,Roschon Johnson,Chi,RB,L 20-38,2.2,0,0,0,5,20,1,6,35,0,7,0,0,0,17.5,0,0,GB,Home,9/12/2023
33,Kyren Williams,LAR,RB,W 30-13,6.1,0,0,0,15,52,2,0,2,0,2,0,0,0,17.4,0,0,Sea,Away,9/12/2023
34,Brock Purdy,SF,QB,W 30-7,13.8,220,2,0,3,20,0,0,0,0,0,0,1,0,16.8,19,29,Pit,Away,9/12/2023
